time,Temperature,Humidity,CO₂
2011-02-01T08:00:00.000Z,21.65346637,32.94393471,494.0618563
2011-02-01T08:04:50.689Z,21.61176298,32.91406455,493.999237
2011-02-01T08:09:56.184Z,21.57369611,32.88901579,493.9268427
2011-02-01T08:14:51.474Z,21.52792592,32.8619307,493.8607876
2011-02-01T08:19:42.462Z,21.48463285,32.83661627,493.7932383
2011-02-01T08:24:32.378Z,21.44383669,32.80876891,493.7273891
2011-02-01T08:29:34.494Z,21.39721859,32.77960283,493.6436738
2011-02-01T08:34:37.695Z,21.34648171,32.74232468,493.5663558
2011-02-01T08:39:44.584Z,21.29792335,32.71100061,493.4887434
2011-02-01T08:44:45.520Z,21.24574769,32.67873684,493.4119536
2011-02-01T08:49:51.734Z,21.19046566,32.64312225,493.3224335
2011-02-01T08:54:39.505Z,21.14273471,32.60565099,493.2425633
2011-02-01T08:59:25.104Z,21.08669384,32.56966236,493.1612532
2011-02-01T09:04:17.023Z,21.03860193,32.53672472,493.0685623
2011-02-01T09:09:11.278Z,20.98381129,32.49325981,492.9863044
2011-02-01T09:14:14.596Z,20.92694232,32.45542193,492.891917
2011-02-01T09:19:24.651Z,20.87010328,32.41428211,492.7938572
2011-02-01T09:24:38.293Z,20.80258796,32.36970117,492.6954085
2011-02-01T09:29:44.999Z,20.748099,32.32210793,492.5923797
2011-02-01T09:34:45.272Z,20.68826585,32.27846603,492.4953139
2011-02-01T09:39:46.528Z,20.6251778,32.2337821,492.396592
2011-02-01T09:44:35.311Z,20.56410203,32.19066161,492.2960574
2011-02-01T09:49:24.640Z,20.50513743,32.14446812,492.2056689
2011-02-01T09:54:20.759Z,20.4422885,32.09814441,492.1034267
2011-02-01T09:59:26.971Z,20.37684354,32.05029292,491.9957952
2011-02-01T10:04:17.383Z,20.31579863,32.00538277,491.8992157
2011-02-01T10:09:15.244Z,20.2474578,31.95471278,491.7985034
2011-02-01T10:14:27.691Z,20.18043611,31.90200216,491.6891694
2011-02-01T10:19:28.903Z,20.10949264,31.85177395,491.5813023
2011-02-01T10:24:22.151Z,20.04849122,31.79904905,491.4873124
2011-02-01T10:29:33.849Z,19.97483374,31.74682632,491.4100709
2011-02-01T10:34:31.495Z,19.90619122,31.69583106,493.0528122
2011-02-01T10:39:39.024Z,19.83433486,31.63916265,494.5679276
2011-02-01T10:44:29.212Z,19.77037923,31.58475916,496.0573832
2011-02-01T10:49:29.328Z,19.6997122,31.53304403,497.6532252
2011-02-01T10:54:25.079Z,19.62736073,31.47603393,499.0828905
2011-02-01T10:59:21.596Z,19.55936291,31.41982241,500.6315172
2011-02-01T11:04:34.349Z,19.48380981,31.36302851,502.3063054
2011-02-01T11:09:34.798Z,19.41075235,31.30848657,503.7831053
2011-02-01T11:14:37.609Z,19.34125693,31.2493985,505.300124
2011-02-01T11:19:24.125Z,19.27029238,31.19161951,506.7384849
2011-02-01T11:24:16.873Z,19.20100911,31.13343141,508.281671
2011-02-01T11:29:30.759Z,19.1203377,31.07251707,509.7652354
2011-02-01T11:34:38.756Z,19.04693803,31.01193679,511.3524498
2011-02-01T11:39:35.644Z,18.97056854,30.95794845,512.7973347
2011-02-01T11:44:32.708Z,18.89827733,30.89991747,514.2622028
2011-02-01T11:49:41.348Z,18.82254784,30.8354295,515.858167
2011-02-01T11:54:31.095Z,18.75111969,30.7770489,517.1991897
2011-02-01T11:59:23.048Z,18.68305594,30.72051143,518.6697062
2011-02-01T12:04:34.307Z,18.60605556,30.65714431,520.1639269
2011-02-01T12:09:25.191Z,18.53361502,30.59977515,521.6054164
2011-02-01T12:14:18.785Z,18.45722126,30.53797892,523.0352508
2011-02-01T12:19:12.301Z,18.56224423,30.47853131,524.3595371
2011-02-01T12:24:20.944Z,18.69925389,30.42013352,525.8858102
2011-02-01T12:29:23.421Z,18.83645064,30.37131886,527.3612044
2011-02-01T12:34:36.269Z,18.98791343,30.65747221,528.6864793
2011-02-01T12:39:37.336Z,19.12860094,30.93770608,530.0528145
2011-02-01T12:44:42.446Z,19.2702436,31.20942696,531.4851391
2011-02-01T12:49:31.074Z,19.39011755,31.46143747,532.7846397
2011-02-01T12:54:22.066Z,19.53079152,31.7278042,534.1201863
